Date,Open,High,Low,Close,Adj Close,Volume,,
"March 02, 2020",14.2,14.21,13.29,14.21,14.019337,13900,,
"March 03, 2020",14.21,14.21,14.21,14.21,14.019337,0,,
"March 04, 2020",14.21,14.21,13.29,13.29,13.111681,4200,,
"March 05, 2020",13.08,14.17,13.08,13.51,13.32873,8000,,The final answer is below
"March 06, 2020",12.8,13.365,12.75,12.75,12.578926,7000,,
"March 09, 2020",13.37,13.37,13.37,13.37,13.190607,1200,,
"March 10, 2020",12.58,13.28,12.58,12.58,12.411207,3600,,
"March 11, 2020",13.36,13.36,12.5,12.5,12.332281,2300,,
"March 12, 2020",10.59,10.59,10.59,10.59,10.447908,1900,,
"March 13, 2020",10.64,10.64,10.64,10.64,10.497238,800,,
"March 16, 2020",9.644,10.94,9.5,9.92,9.786898,12500,,
"March 17, 2020",9.92,9.92,9.92,9.92,9.786898,200,,
"March 18, 2020",11.52,11.52,9.92,9.92,9.786898,5200,,
"March 19, 2020",9.21,9.21,7.83,7.83,7.724941,1100,,
"March 20, 2020",8.63,8.65,8.44,8.65,8.533937,51000,,
"March 23, 2020",8.03,8.03,7.36,7.36,7.261247,2600,,
"March 24, 2020",7.551,7.61,7.39,7.61,7.507893,5700,,
"March 25, 2020",7.85,8.69,7.301,7.31,7.211918,1200,,
"March 26, 2020",8.64,9.598,8.64,8.65,8.533937,3700,,
"March 27, 2020",8.85,9.46,8.83,9.46,9.33307,1400,,
"March 30, 2020",9.458,9.458,9.458,9.458,9.331097,500,,
"March 31, 2020",9.31,9.31,9.31,9.31,9.185083,1400,,
"April 01, 2020",9.31,9.31,9.31,9.31,9.185083,0,,
"April 02, 2020",9.21,9.21,9.21,9.21,9.086425,11400,,
"April 03, 2020",11.468,11.468,11.468,11.468,11.314128,800,,
"April 06, 2020",10.89,10.89,9.67,9.87,9.737569,8600,,
"April 07, 2020",10.13,10.13,10.13,10.13,9.994081,1500,,
"April 08, 2020",10.13,10.13,10.13,10.13,9.994081,0,,
"April 09, 2020",8.84,10.195,8.84,10.195,10.058208,300,,
"April 13, 2020",10.33,11.67,10.33,11.67,11.513417,700,,
"April 14, 2020",10.21,10.21,10.21,10.21,10.073007,300,,
"April 15, 2020",11.2,11.2,11,11,10.852407,500,,
"April 16, 2020",10.01,10.21,10.01,10.21,10.073007,1400,,
"April 17, 2020",11.59,11.59,10.45,10.45,10.309787,800,,
"April 20, 2020",10.45,10.45,10.45,10.45,10.309787,0,,
"April 21, 2020",10.45,10.45,10.45,10.45,10.309787,0,,
"April 22, 2020",10.13,10.13,10.13,10.13,9.994081,300,,
"April 23, 2020",11.33,11.33,11.33,11.33,11.177979,200,,
"April 24, 2020",9.64,9.64,9.64,9.64,9.510655,400,,
"April 27, 2020",10.205,10.205,10.205,10.205,10.068074,200,,
"April 28, 2020",10.205,10.205,10.205,10.205,10.068074,0,,
"April 29, 2020",9.63,9.633,9.63,9.633,9.503749,1000,,
"April 30, 2020",10.79,10.79,10.38,10.38,10.240726,4300,,
"May 01, 2020",10,10,9.69,9.69,9.559983,16400,,
"May 04, 2020",10.63,10.63,10.63,10.63,10.487371,400,,
"May 05, 2020",10.25,10.25,10.25,10.25,10.112471,1400,,
"May 06, 2020",9.88,9.88,9.88,9.88,9.747435,800,,
"May 07, 2020",9.78,9.78,9.78,9.78,9.648776,1400,,
"May 08, 2020",9.71,9.91,9.71,9.71,9.579716,2100,,
"May 11, 2020",9.71,9.71,9.71,9.71,9.579716,0,,
"May 12, 2020",9.71,9.71,9.71,9.71,9.579716,0,,
"May 13, 2020",9.836,9.836,9.73,9.735,9.60438,2600,,
"May 14, 2020",9.21,10.34,9.21,9.22,9.096291,4800,,
"May 15, 2020",9.91,9.91,9.55,9.553,9.424823,800,,
"May 18, 2020",9.55,10.2,9.55,9.55,9.421863,1000,,
"May 19, 2020",9.61,9.91,9.61,9.91,9.777032,2400,,
"May 20, 2020",10.658,10.658,9.61,9.613,9.484017,1300,,
"May 21, 2020",9.613,9.613,9.613,9.613,9.484017,0,,
"May 22, 2020",9.613,9.613,9.61,9.61,9.481057,400,,
"May 26, 2020",9.69,9.69,9.69,9.69,9.559983,500,,
"May 27, 2020",9.98,10.708,9.98,10.708,10.564325,700,,
"May 28, 2020",9.003,10.5,9,10.5,10.359116,8100,,
"May 29, 2020",10.97,11,10.476,10.476,10.335438,10600,,
"June 01, 2020",11.8,11.8,10.21,10.213,10.075967,700,,
"June 02, 2020",10.213,10.213,10.213,10.213,10.075967,0,,
"June 03, 2020",12.7,12.78,12.5,12.78,12.608523,8100,,
"June 04, 2020",12.76,12.76,12.76,12.76,12.588793,300,,
"June 05, 2020",13.468,13.468,12.1,12.1,11.937648,1600,,
"June 08, 2020",12.1,12.1,12.1,12.1,11.937648,0,,
"June 09, 2020",12.1,12.1,12.1,12.1,11.937648,0,,
"June 10, 2020",12.955,12.955,12.955,12.955,12.781176,300,,
"June 11, 2020",12.955,12.955,12.955,12.955,12.781176,0,,
"June 12, 2020",12.955,12.955,12.955,12.955,12.781176,0,,
"June 15, 2020",13.1,13.1,12.37,12.57,12.401341,2600,,
"June 16, 2020",12.855,12.855,12.855,12.855,12.682517,500,,
"June 17, 2020",12.855,12.855,12.855,12.855,12.682517,0,,
"June 18, 2020",13.2,13.2,12.54,12.97,12.795975,1800,,
"June 19, 2020",12.685,12.685,12.27,12.27,12.105368,600,,
"June 22, 2020",11.31,11.31,11.31,11.31,11.158248,200,,
"June 23, 2020",14.208,14.208,14.208,14.208,14.017364,200,,
"June 24, 2020",14.21,14.21,14.21,14.21,14.019337,100,,
"June 25, 2020",11.888,11.895,11.888,11.895,11.735399,800,,
"June 26, 2020",11.89,12.38,10.9,12.38,12.213891,1700,,
"June 29, 2020",12.38,12.38,12.38,12.38,12.213891,0,,
"June 30, 2020",11.8,11.8,11.8,11.8,11.641673,1700,,
"July 01, 2020",11.998,11.998,11.998,11.998,11.837016,200,,
"July 02, 2020",11.973,11.973,11.97,11.97,11.809392,600,,
"July 06, 2020",13.498,13.5,13.498,13.5,13.318863,2000,,
"July 07, 2020",12.12,12.12,12.12,12.12,11.957379,900,,
"July 08, 2020",13.15,13.15,11.86,11.86,11.700868,5800,,
"July 09, 2020",12.85,12.85,11.8,11.8,11.641673,400,,
"July 10, 2020",11.8,11.8,11.8,11.8,11.641673,0,,
"July 13, 2020",11.8,11.8,11.8,11.8,11.641673,0,,
"July 14, 2020",11.7,12.98,11.7,12.98,12.80584,500,,
"July 15, 2020",12.57,12.57,11.76,11.76,11.60221,800,,
"July 16, 2020",12.05,13.398,12.05,13.398,13.218231,1300,,
"July 17, 2020",12.05,12.05,12.05,12.05,11.888319,7700,,
"July 20, 2020",11.94,11.94,11.94,11.94,11.779794,3100,,
"July 21, 2020",11.94,11.94,11.94,11.94,11.779794,0,,
"July 22, 2020",12.43,12.43,12.23,12.23,12.065903,400,,
"July 23, 2020",11.96,11.96,11.96,11.96,11.799526,300,,
"July 24, 2020",11.75,11.75,11.75,11.75,11.592344,200,,
"July 27, 2020",11.603,11.603,11.6,11.6,11.444357,300,,
"July 28, 2020",12.4,12.4,12.4,12.4,12.233623,3400,,
"July 29, 2020",12.4,12.4,12.4,12.4,12.233623,0,,
